source_index,title,url,content,url_type,red_flags,has_implementation_issues,overall_complexity,summary,requires_technical_review,max_severity,num_flags
61316,N.Y. Comp. Codes R. & Regs. Tit. 10 §§ 539.1 to 539.4 - Repealed,https://www.law.cornell.edu/regulations/new-york/10-NYCRR-539.1,"N.Y. Comp. Codes R. & Regs. Tit. 10 §§ 539.1 to 539.4 - Repealed

State Regulations

Notes
N.Y. Comp. Codes R. & Regs. Tit. 10
§§
539.1 to 539.4

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,[],False,,"This section (N.Y. 10 NYCRR §§ 539.1–539.4) is repealed, indicating there are no active regulatory requirements to implement. The notes about quarterly updates and version comparisons relate to historical/regulatory housekeeping rather than current burdens. No technical review is required for implementation.",False,0,0
2897,N.Y. Comp. Codes R. & Regs. Tit. 14 § 343.7 - Evaluation process,https://www.law.cornell.edu/regulations/new-york/14-NYCRR-343.7,"N.Y. Comp. Codes R. & Regs. Tit. 14 § 343.7 - Evaluation process

State Regulations
(a) Review of
applications. The division shall review applications in accordance with the
evaluation criteria specified in section
343.8
of this Part. (b) Approval. Approval of an application may
be conditioned upon the applicant's compliance with specified requirements
within a particular time period as communicated in a notification letter from
the director. Notes
N.Y. Comp. Codes
R. & Regs. Tit. 14
§
343.7

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,[],False,,"This regulation section is minimal and procedural, outlining review and conditional approval steps. No substantive implementation barriers or burdens identified within this section.",False,0,0
14806,N.Y. Comp. Codes R. & Regs. Tit. 16 § 143.11 - Reconnection,https://www.law.cornell.edu/regulations/new-york/16-NYCRR-143.11,"N.Y. Comp. Codes R. & Regs. Tit. 16 § 143.11 - Reconnection

State Regulations

On or before May 31, 1978, all electric corporations shall
file with the commission tariff provisions which provide that, except in
extreme and unusual circumstances or where a customer requests otherwise, such
corporations shall reconnect service to any disconnected residential customer
not more than 24 hours after any of the following events: (a) receipt by the electric corporation of
the full amount due (to include arrears; reestablishment charges and associated
taxes; collection charges and associated taxes; and a security deposit when
requested in writing) for which service had been disconnected; (b) agreement by the electric corporation to
a plan by which the residential customer is obliged to satisfy the arrears; or
(c) direction by the commission
or chief--Consumer Services Section, Power or Gas Division of the commission's
staff, or their designees. The direction to reconnect service under subdivision
(c) of this section should only occur where it reasonably appears, in
exceptional circumstances, that there is a legitimate dispute about an unpaid
portion of the arrears claimed by a utility, where an apparent error in the
disconnection of service has occurred, or where a serious impairment to human
health or safety seems to exist. Notes
N.Y. Comp. Codes R. & Regs. Tit. 16
§
143.11

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,"[{""category"": ""complexity_policy_debt"", ""explanation"": ""Multple nested trigger events (a, b, c) plus discretionary carve-outs create a complex cross-reference structure that is hard to implement consistently."", ""severity"": 7, ""complexity"": ""HIGH"", ""matched_phrases"": [""On or before May 31, 1978, all electric corporations shall file with the commission tariff provisions which provide that, except in extreme and unusual circumstances or where a customer requests otherwise, such corporations shall reconnect service to any disconnected residential customer not more than 24 hours after any of the following events: (a) receipt by the electric corporation of the full amount due (to include arrears; reestablishment charges and associated taxes; collection charges and associated taxes; and a security deposit when requested in writing) for which service had been disconnected; (b) agreement by the electric corporation to a plan by which the residential customer is obliged to satisfy the arrears; or (c) direction by the commission or chief--Consumer Services Section, Power or Gas Division of the commission's staff, or their designees. The direction to reconnect service under subdivision (c) of this section should only occur where it reasonably appears, in exceptional circumstances, that there is a legitimate dispute about an unpaid portion of the arrears claimed by a utility, where an apparent error in the disconnection of service has occurred, or where a serious impairment to human health or safety seems to exist.""], ""implementation_approach"": ""Clarify and simplify the trigger conditions, define terms like 'extreme/unusual circumstances' and 'exceptional circumstances', separate policy formulation from implementation, and provide plain-language guidance to ensure consistent interpretation across utilities."", ""effort_estimate"": ""6-12 months"", ""text_examples"": [""On or before May 31, 1978, all electric corporations shall file with the commission tariff provisions which provide that, except in extreme and unusual circumstances or where a customer requests otherwise, such corporations shall reconnect service to any disconnected residential customer not more than 24 hours after any of the following events: (a) receipt by the electric corporation of the full amount due (to include arrears; reestablishment charges and associated taxes; collection charges and associated taxes; and a security deposit when requested in writing) for which service had been disconnected; (b) agreement by the electric corporation to a plan by which the residential customer is obliged to satisfy the arrears; or (c) direction by the commission or chief--Consumer Services Section, Power or Gas Division of the commission's staff, or their designees.""]}, {""category"": ""mandated_steps_not_outcomes"", ""explanation"": ""The rule imposes a procedural filing requirement (tariff provisions) alongside a hard outcome (reconnection within 24 hours), which can constrain policy changes and create misalignment between process and results."", ""severity"": 5, ""complexity"": ""MEDIUM"", ""matched_phrases"": [""On or before May 31, 1978, all electric corporations shall file with the commission tariff provisions which provide that, except in extreme and unusual circumstances or where a customer requests otherwise, such corporations shall reconnect service to any disconnected residential customer not more than 24 hours after any of the following events: (a) receipt by the electric corporation of the full amount due (to include arrears; reestablishment charges and associated taxes; collection charges and associated taxes; and a security deposit when requested in writing) for which service had been disconnected; (b) agreement by the electric corporation to a plan by which the residential customer is obliged to satisfy the arrears; or (c) direction by the commission or chief--Consumer Services Section, Power or Gas Division of the commission's staff, or their designees.""], ""implementation_approach"": ""Decouple tariff filing from the reconnection outcome by creating a clear, current tariff template; define event triggers and the 24-hour clock; establish measurement rules and performance dashboards to monitor adherence."", ""effort_estimate"": ""3-6 months"", ""text_examples"": [""On or before May 31, 1978, all electric corporations shall file with the commission tariff provisions which provide that, except in extreme and unusual circumstances or where a customer requests otherwise, such corporations shall reconnect service to any disconnected residential customer not more than 24 hours after any of the following events: (a) receipt by the electric corporation of the full amount due (to include arrears; reestablishment charges and associated taxes; collection charges and associated taxes; and a security deposit when requested in writing) for which service had been disconnected; (b) agreement by the electric corporation to a plan by which the residential customer is obliged to satisfy the arrears; or (c) direction by the commission or chief--Consumer Services Section, Power or Gas Division of the commission's staff, or their designees.""]}]",True,HIGH,"The reconnection rule relies on multi-branch triggers and tariff filing, creating cross-references and potential ambiguity in implementation. Clarification of terms and stronger alignment between policy and operational practices are needed.",True,7,2
26398,N.Y. Comp. Codes R. & Regs. Tit. 11 § 216.1 - Definitions,https://www.law.cornell.edu/regulations/new-york/11-NYCRR-216.1,"N.Y. Comp. Codes R. & Regs. Tit. 11 § 216.1 - Definitions

State Regulations

The definitions set forth in this section shall govern the construction of the terms used in this Part. (a) Agent shall mean any person, firm, association or corporation authorized to act as the representative of an insurer and licensed pursuant to the provisions of article 21 of the Insurance Law. With respect to group life and group accident and health policies, the group policyholder shall be the agent of the insurer to the extent such policyholder has been authorized to act on behalf of such insurer. (b) Claimant shall mean any person who attempts to obtain a benefit from an insurer. (c) Investigation shall mean any procedure adopted by an insurer to determine whether to accept or reject a claim. (d) Business day shall mean a day other than Saturday, Sunday or a New York State legal holiday. (e) Notice of claim shall mean any notification, whether in writing or otherwise, to an insurer or its agent, by any claimant who reasonably apprises the insurer of the facts pertinent to a claim. Notes
N.Y. Comp. Codes
R. & Regs. Tit. 11
§
216.1

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,[],False,,No substantive implementation issues identified in this definitions section. The terms are defined succinctly with common cross-reference to external law; overall burden to implement is low.,False,0,0
24033,N.Y. Comp. Codes R. & Regs. Tit. 9 § 457.2 - Police reporting,https://www.law.cornell.edu/regulations/new-york/9-NYCRR-457.2,"N.Y. Comp. Codes R. & Regs. Tit. 9 § 457.2 - Police reporting

State Regulations
(a) Any
employee of an enforcement agency who investigates, or receives information of, an accident involving a snowmobile shall make a written report of the
investigation or information received, and such additional facts relating to
the accident as may come to his knowledge, and mail the same within 48 hours to
the bureau, keeping a record of same in his office. (b) Where a serious injury or death has
resulted from such accident, the investigating officer may delay mailing his
report to the bureau pending a final determination as to the condition of the
injured person or persons; however, in such cases the investigating officer or
his superior must promptly notify the bureau by telephone, teletype or in
writing of such delay and the reason therefor. Said written report is to be
filed not later than seven days after the accident. Notes
N.Y. Comp. Codes R. & Regs. Tit. 9
§
457.2

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,"[{""category"": ""administrative_burdens"", ""explanation"": ""Imposes tight reporting deadlines and manual record-keeping, increasing administrative load."", ""severity"": 6, ""complexity"": ""MEDIUM"", ""matched_phrases"": [""\""mail the same within 48 hours to the bureau, keeping a record of same in his office\"""", ""\""not later than seven days after the accident\"""", ""\""promptly notify the bureau by telephone, teletype or in writing of such delay and the reason therefor\""""], ""implementation_approach"": ""Move to electronic submission with automated reminders, leverage existing incident records, and provide a clear SLA for reporting; allow digital signatures and online filing to reduce manual handling."", ""effort_estimate"": ""4-6 months"", ""text_examples"": [""make a written report of the investigation or information received, and mail the same within 48 hours to the bureau, keeping a record of same in his office."", ""Said written report is to be filed not later than seven days after the accident."", ""the investigating officer must promptly notify the bureau by telephone, teletype or in writing of such delay and the reason therefor.""]}, {""category"": ""mandated_steps_not_outcomes"", ""explanation"": ""Requires specific sequencing and time-bound steps (mail within 48 hours, file within 7 days) with limited flexibility or outcome-oriented targets."", ""severity"": 5, ""complexity"": ""MEDIUM"", ""matched_phrases"": [""\""make a written report of the investigation or information received, and mail the same within 48 hours to the bureau\"""", ""\""Said written report is to be filed not later than seven days after the accident\"""", ""\""may delay mailing his report to the bureau pending a final determination\""""], ""implementation_approach"": ""Reframe as outcome-focused performance metrics (e.g., reports entered within a target percentage of accidents) and enable electronic submissions; add pilot testing and feedback loops before broad rollout."", ""effort_estimate"": ""3-5 months"", ""text_examples"": [""\""make a written report of the investigation or information received, and mail the same within 48 hours to the bureau, keeping a record of same in his office.\"""", ""\""Said written report is to be filed not later than seven days after the accident.\"""", ""\""may delay mailing his report to the bureau pending a final determination as to the condition of the injured person or persons; however, ... must promptly notify the bureau\""""]}]",True,MEDIUM,"The section imposes tight, paper-based reporting timelines and explicit procedural steps, creating administrative burden and rigidity. Modernizing with electronic reporting and shifting toward outcome-based metrics could improve implementability.",True,6,2
10088,N.Y. Comp. Codes R. & Regs. Tit. 16 § 197.23 - Operating property retired,https://www.law.cornell.edu/regulations/new-york/16-NYCRR-197.23,"N.Y. Comp. Codes R. & Regs. Tit. 16 § 197.23 - Operating property retired

State Regulations
(a) Except as otherwise provided in paragraph (2) of subdivision (b), and
subdivision (c) hereunder, the book cost of depreciable operating property
retired (see §
196.1, subd. [a][35]) shall be
charged in its entirety to account 261, Depreciation Reserves, together with
the cost of removal. To that account shall be credited salvage value and
amounts recovered as insurance or otherwise, including amounts provided in
account 264, Insurance Reserve. (b) For the purpose of avoiding undue refinement in accounting for the replacement
of small items of property, depreciable Operating Property-- Electric and

Operating Property--General shall be grouped into (1) units of property, and
(2) minor items, and the accounting for retirements and replacements of each
group shall be as follows: (1)

Units of
property. Not later than six months following the date when it becomes subject
to this system of accounts, each utility shall file with the commission a
statement subscribed by the responsible municipal official or other duly
authorized representative showing for each account or subdivision thereof in

Operating Property--Electric (and Operating Property--General) a list of the
types and quantities of property which are accounted for as units of property. Any revision thereof shall be filed in like manner. The book cost of any unit
of property retired shall be credited to the appropriate operating property
account and charged to account 261, Depreciation Reserves, whether or not
replaced. The cost of property installed in place of property retired shall be
charged to the appropriate operating property account. (2)

Minor items. (i) This group includes any part or element
which is not designated as a unit of property. The book cost of any minor item
of property retired and not replaced shall be credited to the operating
property account wherein included and charged to account 261, Depreciation

Reserves, except that, if the book cost of a minor item of property has been or
will be accounted for by its inclusion in the unit of property of which it is a
part when such unit is retired, no separate credit to the operating property
account is required when such minor item is retired. (ii)

If minor items of property are retired
and replaced (apart from the unit of property of which they form a part or with
which they are associated), no entry shall be made in the operating property
account or in account 261, Depreciation Reserves. The cost of the replacement
shall be charged to the account appropriate for the cost of repairs to the
property, except that, if the replacement effects a substantial betterment (the
primary aim of which is to make the property affected more useful, more
efficient, or of greater capacity), there shall be charged to the appropriate
operating property account the access cost of the replacement over the
estimated cost at current prices of replacing without betterment the minor
items retired. (c) Determination of book cost. The book cost
of operating property retired shall be the amount at which such property is
included in the operating property accounts including all items set forth in
paragraphs (1) to (10) of subdivision (e) of section
197.21. Such costs shall be
determined from the utility's records when this can be done, as in the case of
land, structures, boilers, engines, generating station and substation
equipment, transportation, office, and other equipment, and other items of
operating property for which individual cost records are available. When the
actual book cost can not be determined from the records, it shall be estimated. When it is impracticable to determine the book cost of each item due to the
relatively large number or small cost thereof, the average book cost of the
items, with due allowance for differences in size, character or year of
installation, shall be used as the book cost of the items retired, except that
utilities in Classes C and D need not take account of year of installation. The
continuing property record, when completed, shall be used in accounting for
retirements. (d) The accounting for
the retirement of items included in account 302, Franchises and Consents, account 303, Miscellaneous Intangible Property, and intangible elements with
limited terms included in account 311, Land, shall be as provided in the texts
of account 262, Amortization Reserves, and account 790, Amortization of

Intangible Property. (e) When
operating property constituting an operating unit or system is sold, the book
cost of the property shall be credited to the appropriate operating property
accounts. The amounts (estimated if not known) carried with respect thereto in
the depreciation and amortization reserve accounts and account 263, Contributions for Extensions, shall be cleared for such reserves. Unless
otherwise ordered by the commission, the difference, if any, between (1) the
net amount of such debit and credit items, and (2) the consideration received
for the property, shall be included, if a debit, in account 514, Miscellaneous

Debits to Surplus, or, if a credit, in account 502, Miscellaneous Credits to

Surplus. (f) If the cause of
retirement of depreciable Operating Property--Electric or Operating

Property--General is one for which provision has not been made in the
depreciation reserves and the loss is not covered by insurance, or if the
retirement could not reasonably have been foreseen and provided for, the
utility, upon order of the commission, may credit account 261, Depreciation

Reserves, and charge account 143, Suspense to be Amortized, with the unprovided
for loss in service value and distribute it through charges to account 789, Deferred Retirement Losses, over such period as the commission may
order. Notes
N.Y. Comp. Codes R. & Regs. Tit. 16
§
197.23

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,"[{""category"": ""complexity_policy_debt"", ""explanation"": ""Contains many cross-references to other sections and nested cost accounting rules, increasing navigational and implementation burden."", ""severity"": 8, ""complexity"": ""HIGH"", ""matched_phrases"": [""the book cost of depreciable operating property retired (see \u00a7 196.1, subd. [a][35]) shall be charged in its entirety to account 261, Depreciation Reserves, together with the cost of removal."", ""(b) For the purpose of avoiding undue refinement in accounting for the replacement of small items of property, depreciable Operating Property-- Electric and Operating Property--General shall be grouped into (1) units of property, and (2) minor items, and the accounting for retirements and replacements of each group shall be as follows:"", ""(c) Determination of book cost. The book cost of operating property retired shall be the amount at which such property is included in the operating property accounts including all items set forth in paragraphs (1) to (10) of subdivision (e) of section 197.21."", ""(d) The accounting for the retirement of items included in account 302, Franchises and Consents, account 303, Miscellaneous Intangible Property, and intangible elements with limited terms included in account 311, Land, shall be as provided in the texts of account 262, Amortization Reserves, and account 790, Amortization of Intangible Property.""], ""implementation_approach"": ""Create a consolidated cross-reference index and plain-language guidance mapping each cross-reference to the relevant policy. Consider simplifying or numbering cross-references into a single matrix for staff."", ""effort_estimate"": ""High - require internal policy consolidation and training (3-6 months)."", ""text_examples"": [""the book cost of depreciable operating property retired (see \u00a7 196.1, subd. [a][35]) shall be charged in its entirety to account 261, Depreciation Reserves, together with the cost of removal."", ""(b) For the purpose of avoiding undue refinement in accounting for the replacement of small items of property, depreciable Operating Property-- Electric and Operating Property--General shall be grouped into (1) units of property, and (2) minor items, and the accounting for retirements and replacements of each group shall be as follows:"", ""(c) Determination of book cost. The book cost of operating property retired shall be the amount at which such property is included in the operating property accounts including all items set forth in paragraphs (1) to (10) of subdivision (e) of section 197.21."", ""(d) The accounting for the retirement of items included in account 302, Franchises and Consents, account 303, Miscellaneous Intangible Property, and intangible elements with limited terms included in account 311, Land, shall be as provided in the texts of account 262, Amortization Reserves, and account 790, Amortization of Intangible Property.""]}, {""category"": ""mandated_steps_not_outcomes"", ""explanation"": ""Explicit procedural filing requirements (six-month deadline) introduce rigid steps that staff must administer."", ""severity"": 7, ""complexity"": ""MEDIUM"", ""matched_phrases"": [""(b) For the purpose of avoiding undue refinement in accounting for the replacement of small items of property, depreciable Operating Property-- Electric and Operating Property--General shall be grouped into (1) units of property, and (2) minor items, and the accounting for retirements and replacements of each group shall be as follows:"", ""Not later than six months following the date when it becomes subject to this system of accounts, each utility shall file with the commission a statement subscribed by the responsible municipal official or other duly authorized representative showing for each account or subdivision thereof in Operating Property--Electric (and Operating Property--General) a list of the types and quantities of property which are accounted for as units of property."", ""Any revision thereof shall be filed in like manner.""], ""implementation_approach"": ""Provide standardized electronic forms and auto-imports from asset registers; require digital signatures; create deadline reminders and escalation."", ""effort_estimate"": ""Medium-term (6-12 months) to implement forms, data mappings, and automation."", ""text_examples"": [""(b) For the purpose of avoiding undue refinement in accounting for the replacement of small items of property, depreciable Operating Property-- Electric and Operating Property--General shall be grouped into (1) units of property, and (2) minor items, and the accounting for retirements and replacements of each group shall be as follows:"", ""Not later than six months following the date when it becomes subject to this system of accounts, each utility shall file with the commission a statement subscribed by the responsible municipal official or other duly authorized representative showing for each account or subdivision thereof in Operating Property--Electric (and Operating Property--General) a list of the types and quantities of property which are accounted for as units of property."", ""Any revision thereof shall be filed in like manner.""]}, {""category"": ""overwrought_legalese"", ""explanation"": ""Dense legal language and multiple nested references hinder translation to plain forms."", ""severity"": 6, ""complexity"": ""HIGH"", ""matched_phrases"": [""The book cost of operating property retired shall be the amount at which such property is included in the operating property accounts including all items set forth in paragraphs (1) to (10) of subdivision (e) of section 197.21."", ""When the actual book cost can not be determined from the records, it shall be estimated."", ""When it is impracticable to determine the book cost of each item due to the relatively large number or small cost thereof, the average book cost of the items, with due allowance for differences in size, character or year of installation, shall be used as the book cost of the items retired, except that utilities in Classes C and D need not take account of year of installation."", ""The continuing property record, when completed, shall be used in accounting for retirements.""], ""implementation_approach"": ""Provide plain-language digest and mapping to required fields; create resident glossary; update training materials."", ""effort_estimate"": ""Medium (2-6 weeks for rewrite and staff training)."", ""text_examples"": [""The book cost of operating property retired shall be the amount at which such property is included in the operating property accounts including all items set forth in paragraphs (1) to (10) of subdivision (e) of section 197.21."", ""When the actual book cost can not be determined from the records, it shall be estimated."", ""When it is impracticable to determine the book cost of each item due to the relatively large number or small cost thereof, the average book cost of the items, with due allowance for differences in size, character or year of installation, shall be used as the book cost of the items retired, except that utilities in Classes C and D need not take account of year of installation."", ""The continuing property record, when completed, shall be used in accounting for retirements.""]}]",True,HIGH,"The section contains heavy cross-references and dense legal language that create navigation and interpretation challenges, with procedural filing requirements that add administrative burden. Improvements via plain-language summaries and a cross-reference index would help implementation.",True,8,3
32804,N.Y. Comp. Codes R. & Regs. Tit. 9 § 5001.17 - Agent inspections,https://www.law.cornell.edu/regulations/new-york/9-NYCRR-5001.17,"N.Y. Comp. Codes R. & Regs. Tit. 9 § 5001.17 - Agent inspections

State Regulations

Each licensed sales agent shall permit inspections of
such sales agent's premises upon request by authorized employees of the
commission to determine whether said sales agents are complying with the
provisions of the acts, the rules, regulations and instructions of the
commission, and the licensing agreement. Inspections may be made without notice
during normal business hours. Notes
N.Y. Comp. Codes R. & Regs. Tit. 9
§
5001.17

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,[],False,,"No substantive implementation issues detected in this agent inspections clause. The requirement to permit inspections is straightforward and unambiguous (during normal business hours, without notice). There is potential for future improvements such as adding feedback loops or pilots, but none are required by this text.",False,0,0
49363,"N.Y. Comp. Codes R. & Regs. Tit. 10 §§ 7-2.15 - Heat, light and ventilation",https://www.law.cornell.edu/regulations/new-york/10-NYCRR-7-2.15,"N.Y. Comp. Codes R. & Regs. Tit. 10 §§ 7-2.15 - Heat, light and ventilation

State Regulations
(a) Windows, or skylights having a minimum total area within the casement of at least eight percent of the floor area, shall be maintained in all occupied rooms; natural ventilation shall be provided through openable windows or other exterior openings which are equal in area to four percent or more of the floor area. Artificial in lieu of natural lighting, and mechanical ventilation, may be provided in toilet rooms and assembly space. (b) Camps occupied between October 1st and May 1st shall have at least one building with heating facilities for emergency use. Unvented fossil fuel-powered heaters are prohibited. Notes
N.Y. Comp. Codes R. & Regs. Tit. 10
§§
7-2.15

Amended

New

York State Register June 22, 2016/Volume XXXVIII, Issue 25, eff. 6/22/2016

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,"[{""category"": ""ADMINISTRATIVE_BURDENS"", ""explanation"": ""Ongoing measurement/maintenance of window area and ventilation percentages creates ongoing compliance tasks for building owners and inspectors."", ""severity"": 5, ""complexity"": ""MEDIUM"", ""matched_phrases"": [""Windows, or skylights having a minimum total area within the casement of at least eight percent of the floor area, shall be maintained in all occupied rooms; natural ventilation shall be provided through openable windows or other exterior openings which are equal in area to four percent or more of the floor area."", ""Artificial in lieu of natural lighting, and mechanical ventilation, may be provided in toilet rooms and assembly space."", ""Unvented fossil fuel-powered heaters are prohibited.""], ""implementation_approach"": ""Develop a standardized inspection protocol and measurement method for floor area and window/casement areas; create a compliance checklist and align with existing building codes, incorporate into annual inspections; automate data capture via drawings or measured field data."", ""effort_estimate"": ""Medium-term (3-6 months) to integrate into enforcement and inspection workflows; ongoing maintenance thereafter."", ""text_examples"": [""Windows, or skylights having a minimum total area within the casement of at least eight percent of the floor area, shall be maintained in all occupied rooms; natural ventilation shall be provided through openable windows or other exterior openings which are equal in area to four percent or more of the floor area."", ""Artificial in lieu of natural lighting, and mechanical ventilation, may be provided in toilet rooms and assembly space."", ""Unvented fossil fuel-powered heaters are prohibited.""]}]",True,MEDIUM,"The rule imposes numeric requirements for window area and ventilation and a regional emergency heating clause, creating measurement and maintenance burdens for compliance; a straightforward but mid-level implementation task.",True,5,1
44940,N.Y. Comp. Codes R. & Regs. Tit. 8 § 179.8 - Renumbered,https://www.law.cornell.edu/regulations/new-york/8-NYCRR-179.8,"N.Y. Comp. Codes R. & Regs. Tit. 8 § 179.8 - Renumbered

State Regulations

Notes
N.Y. Comp. Codes R. & Regs. Tit. 8
§
179.8

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,[],False,,"Section contains only metadata indicating renumbering and quarterly version comparisons; no substantive regulatory requirements are present to implement. If actual requirements exist in linked versions, those would be the source of implementation complexity, but this snippet alone shows no burdens.",False,0,0
45244,N.Y. Comp. Codes R. & Regs. Tit. 23 § 201.9 - Severability,https://www.law.cornell.edu/regulations/new-york/23-NYCRR-201.9,"N.Y. Comp. Codes R. & Regs. Tit. 23 § 201.9 - Severability

State Regulations

If any provision of this Part or the application thereof to
any person or circumstance is adjudged invalid by a court of competent
jurisdiction, such judgment shall not affect or impair the validity of the
other provisions of this Part or the application thereof to other persons or
circumstances. Notes
N.Y. Comp. Codes R. & Regs. Tit. 23
§
201.9

Adopted

New

York State Register July 3, 2018/Volume XL, Issue 27, eff. 7/3/2018

State regulations are updated quarterly; we currently have two versions available. Below is a
comparison between our most recent version and the prior quarterly release. More comparison features will be added as we have more versions to compare. No prior version found.",regulation,[],False,,The severability clause is concise and standard; no substantive implementation barriers detected.,False,0,0
